Lid,longitude,latitude,address,zipcode
KovZpZAEAIvA-144,-71.065086,42.3504843,Massachusetts/Boston/246 Tremont St./time_zone:America/New_York,02116
KovZpa4tUe-146,-70.95121002,42.46480942,Massachusetts/Lynn/3 City Hall Sq./time_zone:America/New_York,01901
KovZ917AQ07-147,-70.878915,42.551455,Massachusetts/Beverly/286 Cabot Street/time_zone:America/New_York,01915
KovZpZA11JtA-149,-71.1195379,42.3518332,Massachusetts/Boston/967 Commonwealth Avenue/time_zone:America/New_York,02215
KovZ917AxdQ-151,-71.0617,42.365977,Massachusetts/Boston/110 Causeway Street /time_zone:America/New_York,02114
KovZpZAJd6aA-152,-71.109255,42.419637,Massachusetts/Medford/30 Forest Street/time_zone:America/New_York,02115
KovZpZAEAIvA-153,-71.065086,42.3504843,Massachusetts/Boston/246 Tremont St./time_zone:America/New_York,02116
KovZpZAEAIvA-156,-71.065086,42.3504843,Massachusetts/Boston/246 Tremont St./time_zone:America/New_York,02116
KovZ917AxdQ-158,-71.0617,42.365977,Massachusetts/Boston/110 Causeway Street /time_zone:America/New_York,02114
KovZpZAEAIvA-160,-71.065086,42.3504843,Massachusetts/Boston/246 Tremont St./time_zone:America/New_York,02116
ZFr9jZdF1e-161,-71.801498,42.2617,Massachusetts/Worcester/261 Main St./time_zone:America/New_York,01608
KovZpZAEAdIA-162,-70.811438,42.90703,New Hampshire/Hampton Beach/169 Ocean Blvd/time_zone:America/New_York,03842
ZFr9jZFa61-164,-71.075302,42.349602,Massachusetts/Boston/279 Tremont Street/time_zone:America/New_York,02116
KovZpZA6taIA-165,-72.0914563,41.4915974,Connecticut/Uncasville/1 Mohegan Sun Blvd/time_zone:America/New_York,06382
ZFr9jZdF1e-166,-71.801498,42.2617,Massachusetts/Worcester/261 Main St./time_zone:America/New_York,01608
KovZpZAEAIvA-167,-71.065086,42.3504843,Massachusetts/Boston/246 Tremont St./time_zone:America/New_York,02116
KovZpZAJd6aA-168,-71.109255,42.419637,Massachusetts/Medford/30 Forest Street/time_zone:America/New_York,02115
KovZpZA77lkA-169,-70.81629566,42.84356106,Massachusetts/Salisbury/4 Oceanfront North/time_zone:America/New_York,01952
Z7r9jZadfX-173,-71.068001,42.362099,Massachusetts/Boston/80 BEVERLY STREET/time_zone:America/New_York,02114
ZFr9jZ1Adk-174,-71.040298,42.3466,Massachusetts/Boston/415 Summer St/time_zone:America/New_York,02210
KovZpZA11JtA-175,-71.1195379,42.3518332,Massachusetts/Boston/967 Commonwealth Avenue/time_zone:America/New_York,02215
KovZ917AQ07-176,-70.878915,42.551455,Massachusetts/Beverly/286 Cabot Street/time_zone:America/New_York,01915
KovZpZA11JtA-177,-71.1195379,42.3518332,Massachusetts/Boston/967 Commonwealth Avenue/time_zone:America/New_York,02215
